order|board_idx|title|thumb_url|detail_images|inferred_category
1|182|육대장|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/182/521516551_1.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/182/521516551_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/182/1256419415_2.jpg|design
2|181|하릭|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/181/1496415718_1.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/181/1496415718_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/181/929201827_2.jpg|design
3|180|코시|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/180/100310120_1.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/180/100310120_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/180/1857943527_2.jpg|design
4|174|요고프로즌|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/174/1110319375_1.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/174/1110319375_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/174/933096778_2.jpg|design
5|173|코코팡|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/173/1934484040_1.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/173/1934484040_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/173/51352411_2.jpg|design
6|172|바른보험|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/172/2134810075_1.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/172/2134810075_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/172/741383796_2.jpg|design
7|171|배차킹|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/171/494494025_1.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/171/494494025_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/171/317454741_2.jpg|design
8|170|BNI|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/170/890861822_1.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/170/890861822_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/170/1879761838_3.jpg|design
9|179|ARK 아크|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/179/164470414_EC9584ED81ACEC8DB8.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/179/164470414_EC9584ED81ACEC8DB8.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/179/362829291_EC9584ED81AC2.png|design
10|165|에이비씨랩스|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/165/92253979_EC8DB8EB84A4EC9DBC.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/165/92253979_EC8DB8EB84A4EC9DBC.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/165/16387620_ED8FACED8AB8ED8FB4EBA6ACEC98A4.png|design
11|164|그린팬|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/164/1692045277_EAB7B8EBA6B0ED8CAC-EC8DB8EB84A4EC9DBC.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/164/1692045277_EAB7B8EBA6B0ED8CAC-EC8DB8EB84A4EC9DBC.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/164/1105533263_EAB7B8EBA6B0ED8CAC-ED8FACED8FB4.png|design
12|163|HAM|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/163/1805616598_EC8DB8EB84A4EC9DBC.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/163/1805616598_EC8DB8EB84A4EC9DBC.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/163/640434951_ED8FACED8FB4.png|design
13|162|블레이자|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/162/496906330_1.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/162/496906330_1.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/162/1868930469_2.png|design
14|161|에코바이오홀딩스|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/161/2028273371_1.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/161/2028273371_1.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/161/506208348_2.png|design
15|160|미풍양주|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/160/1095700515_1.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/160/1095700515_1.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/160/1794607289_2.png|design
16|159|야무진형제들|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/159/1429405485_1.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/159/1429405485_1.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/159/1446255876_2.png|design
17|158|CBS|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/158/700587165_cbs-sum.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/158/700587165_cbs-sum.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/158/905184949_cbs.png|design
18|157|하이픈 코퍼레이션|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/157/2136366121_ED9598EC9DB4ED9488-sum.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/157/2136366121_ED9598EC9DB4ED9488-sum.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/157/799797736_ED9598EC9DB4ED9488.png|design
19|156|어플라이드 머터리얼즈|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/156/1204875945_EC96B4ED948CEB9DBCEC9DB4EB939C-EBA8B8ED84B0EBA6ACEC96BCECA688-sum.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/156/1204875945_EC96B4ED948CEB9DBCEC9DB4EB939C-EBA8B8ED84B0EBA6ACEC96BCECA688-sum.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/156/1147643848_EC96B4ED948CEB9DBCEC9DB4EB939C-EBA8B8ED84B0EBA6ACEC96BCECA688.png|design
20|149|글라세움|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/149/541911719_sum.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/149/541911719_sum.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/149/374483901_1.png|design
